"Local time in Tallinn (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"20.10.2022 07:00";"6.6";"760.9";"763.9";"0.0";"87";"Wind blowing from the west";"2";"";"";"70 – 80%.";"Rain (not freezing). ";"Showers or intermittent precipitation.";"No significant weather observed.";"3.3";"7.7";"";"70 – 80%.";"1000-1500";"";"";"35.0";"4.6";"0.2";"3";"";"";"";"";
"20.10.2022 06:00";"7.3";"760.7";"763.8";"-0.2";"86";"Wind blowing from the west-northwest";"3";"";"";"100%.";"Rain shower(s), slight. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"3.3";"7.7";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"100%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"28.0";"5.1";"No precipitation";"3";"";"";"";"";
"20.10.2022 05:00";"7.1";"760.8";"763.9";"-0.1";"84";"Wind blowing from the west";"2";"";"";"100%.";"Rain (not freezing). ";"No significant weather observed.";"No significant weather observed.";"3.3";"7.7";"";"100%.";"600-1000";"";"";"35.0";"4.5";"No precipitation";"3";"";"";"";"";
"20.10.2022 04:00";"7.5";"760.9";"763.9";"-0.3";"83";"Wind blowing from the west";"2";"";"";"100%.";"Precipitation ";"No significant weather observed.";"No significant weather observed.";"3.3";"7.6";"";"100%.";"600-1000";"";"";"35.0";"4.8";"No precipitation";"3";"";"";"";"";
"20.10.2022 03:00";"5.8";"760.9";"764.0";"-0.5";"81";"Wind blowing from the south-west";"2";"";"";"100%.";"State of sky on the whole unchanged. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"3.3";"7.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"2.8";"No precipitation";"3";"";"";"";"";
"20.10.2022 02:00";"6.4";"760.9";"764.0";"-0.8";"75";"Wind blowing from the west";"1";"";"";"90  or more, but not 100%";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"3.3";"7.3";"";"90  or more, but not 100%";"600-1000";"";"";"35.0";"2.3";"No precipitation";"3";"";"";"";"";
"20.10.2022 01:00";"4.0";"761.2";"764.3";"-0.3";"83";"Wind blowing from the west-southwest";"2";"";"";"90  or more, but not 100%";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"3.3";"7.3";"";"90  or more, but not 100%";"600-1000";"";"";"35.0";"1.3";"No precipitation";"3";"";"";"";"";
"20.10.2022 00:00";"5.8";"761.4";"764.5";"-0.2";"79";"Wind blowing from the west";"1";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"3.3";"7.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"2.4";"No precipitation";"3";"";"";"";"";
"19.10.2022 23:00";"5.2";"761.7";"764.8";"0.2";"78";"Wind blowing from the west-northwest";"2";"";"";"40%.";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"3.3";"7.3";"";"40%.";"600-1000";"";"";"35.0";"1.7";"No precipitation";"3";"";"";"";"";
"19.10.2022 22:00";"3.9";"761.5";"764.7";"0.2";"78";"Wind blowing from the west";"1";"";"";"no clouds";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"3.6";"7.3";"";"";"";"";"";"35.0";"0.4";"No precipitation";"3";"";"";"";"";
"19.10.2022 21:00";"5.4";"761.6";"764.7";"0.7";"69";"Wind blowing from the west-northwest";"1";"";"";"no clouds";"State of sky on the whole unchanged. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"4.4";"7.3";"";"";"";"";"";"35.0";"0.1";"No precipitation";"12";"";"";"";"";
"19.10.2022 20:00";"6.3";"761.5";"764.6";"0.7";"61";"Wind blowing from the north-northwest";"2";"";"";"no clouds";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"4.2";"7.3";"";"";"";"";"";"35.0";"-0.7";"No precipitation";"3";"";"";"";"";
"19.10.2022 19:00";"5.9";"761.3";"764.4";"0.8";"70";"Wind blowing from the north-west";"2";"";"";"40%.";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"4.2";"7.3";"";"40%.";"600-1000";"";"";"35.0";"0.8";"No precipitation";"3";"";"";"";"";
"19.10.2022 18:00";"6.4";"760.9";"764.1";"0.3";"68";"Wind blowing from the north-west";"2";"";"9";"70 – 80%.";"State of sky on the whole unchanged. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"4.2";"7.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"0.8";"No precipitation";"3";"";"";"";"";
"19.10.2022 17:00";"7.0";"760.8";"763.9";"0.3";"65";"Wind blowing from the north-northwest";"2";"";"9";"90  or more, but not 100%";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"4.2";"7.3";"";"90  or more, but not 100%";"600-1000";"";"";"35.0";"0.9";"No precipitation";"3";"";"";"";"";
"19.10.2022 16:00";"6.8";"760.5";"763.6";"0.4";"63";"Wind blowing from the north";"3";"";"9";"20–30%.";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"4.2";"7.3";"";"20–30%.";"600-1000";"";"";"35.0";"0.2";"No precipitation";"3";"";"";"";"";
"19.10.2022 15:00";"6.7";"760.6";"763.6";"0.9";"66";"Wind blowing from the north-northwest";"4";"";"11";"70 – 80%.";"State of sky on the whole unchanged. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"4.2";"7.1";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"0.7";"No precipitation";"3";"";"";"";"";
"19.10.2022 14:00";"6.3";"760.5";"763.6";"1.3";"67";"Wind blowing from the north-northwest";"4";"8";"11";"40%.";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"4.2";"6.9";"";"40%.";"600-1000";"";"";"35.0";"0.5";"No precipitation";"3";"";"";"";"";
"19.10.2022 13:00";"6.3";"760.1";"763.2";"1.6";"68";"Wind blowing from the north";"4";"";"11";"10%  or less, but not 0";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"4.2";"6.8";"";"10%  or less, but not 0";"600-1000";"";"";"35.0";"0.7";"No precipitation";"3";"";"";"";"";
"19.10.2022 12:00";"5.5";"759.7";"762.8";"1.8";"72";"Wind blowing from the north-northeast";"4";"8";"11";"70 – 80%.";"State of sky on the whole unchanged. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"4.2";"7.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"0.8";"No precipitation";"3";"";"";"";"";
"19.10.2022 11:00";"4.8";"759.2";"762.3";"1.7";"73";"Wind blowing from the north";"5";"9";"11";"50%.";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"4.2";"8.3";"";"50%.";"300-600";"";"";"35.0";"0.4";"No precipitation";"3";"";"";"";"";
"19.10.2022 10:00";"4.6";"758.5";"761.6";"1.2";"78";"Calm, no wind";"0";"";"";"10%  or less, but not 0";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"4.2";"8.6";"";"10%  or less, but not 0";"300-600";"";"";"35.0";"1.1";"No precipitation";"3";"";"";"";"";
"19.10.2022 09:00";"4.4";"757.9";"761.0";"0.8";"78";"Wind blowing from the north";"4";"9";"10";"40%.";"State of sky on the whole unchanged. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"4.2";"8.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"0.8";"Trace of precipitation";"12";"";"";"";"";
"19.10.2022 08:00";"4.3";"757.5";"760.6";"0.6";"80";"Wind blowing from the north";"4";"";"9";"20–30%.";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"4.2";"8.6";"";"20–30%.";"300-600";"";"";"35.0";"1.2";"No precipitation";"3";"";"";"";"";
"19.10.2022 07:00";"4.6";"757.3";"760.5";"0.6";"79";"Wind blowing from the north";"4";"9";"9";"70 – 80%.";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"4.3";"8.6";"";"70 – 80%.";"300-600";"";"";"35.0";"1.3";"No precipitation";"3";"";"";"";"";
"19.10.2022 06:00";"4.8";"757.1";"760.2";"0.8";"78";"Wind blowing from the north-northwest";"3";"";"9";"40%.";"State of sky on the whole unchanged. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"4.6";"8.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"1.2";"No precipitation";"3";"";"";"";"";
"19.10.2022 05:00";"4.7";"756.9";"760.0";"0.9";"78";"Wind blowing from the north";"4";"8";"9";"90  or more, but not 100%";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"4.7";"9.2";"";"50%.";"300-600";"";"";"35.0";"1.1";"No precipitation";"3";"";"";"";"";
"19.10.2022 04:00";"5.0";"756.7";"759.8";"0.8";"80";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"4.9";"9.4";"";"90  or more, but not 100%";"300-600";"";"";"35.0";"1.8";"No precipitation";"3";"";"";"";"";
"19.10.2022 03:00";"5.3";"756.3";"759.4";"0.5";"78";"Wind blowing from the north";"3";"";"9";"50%.";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"5.2";"9.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"1.8";"No precipitation";"3";"";"";"";"";
"19.10.2022 02:00";"6.1";"756.0";"759.1";"0.2";"79";"Wind blowing from the north";"3";"";"9";"90  or more, but not 100%";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"5.9";"9.6";"";"90  or more, but not 100%";"300-600";"";"";"35.0";"2.7";"No precipitation";"3";"";"";"";"";
"19.10.2022 01:00";"6.6";"755.9";"759.0";"0.0";"81";"Wind blowing from the north";"3";"";"9";"90  or more, but not 100%";"No significant weather observed. ";"Showers or intermittent precipitation.";"No significant weather observed.";"6.6";"9.7";"";"50%.";"300-600";"";"";"35.0";"3.6";"No precipitation";"3";"";"";"";"";
"19.10.2022 00:00";"7.5";"755.8";"758.9";"-0.3";"79";"Wind blowing from the north";"3";"";"8";"40%.";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"7.0";"9.7";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"4.0";"No precipitation";"3";"";"";"";"";
"18.10.2022 23:00";"8.2";"755.8";"758.9";"-0.6";"83";"Wind blowing from the north-northwest";"3";"";"";"90  or more, but not 100%";"Rain (not freezing). ";"Showers or intermittent precipitation.";"Showers or intermittent precipitation.";"7.0";"9.7";"";"90  or more, but not 100%";"300-600";"";"";"35.0";"5.5";"0.1";"3";"";"";"";"";
"18.10.2022 22:00";"8.1";"755.9";"759.0";"-0.5";"90";"Wind blowing from the west-northwest";"2";"";"";"90  or more, but not 100%";"No significant weather observed. ";"Showers or intermittent precipitation.";"No significant weather observed.";"7.0";"9.7";"";"90  or more, but not 100%";"300-600";"";"";"35.0";"6.5";"0.1";"3";"";"";"";"";
"18.10.2022 21:00";"7.7";"756.1";"759.1";"-0.6";"95";"Wind blowing from the west-southwest";"1";"";"";"50%.";"Rain shower(s), slight. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"7.0";"9.7";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"6.9";"0.4";"12";"";"";"";"";
"18.10.2022 20:00";"7.3";"756.4";"759.4";"-0.3";"93";"Wind blowing from the south-west";"2";"";"";"90  or more, but not 100%";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"7.0";"9.7";"";"90  or more, but not 100%";"300-600";"";"";"35.0";"6.3";"No precipitation";"3";"";"";"";"";
"18.10.2022 19:00";"7.6";"756.4";"759.5";"-0.3";"92";"Wind blowing from the west";"2";"";"";"no clouds";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"7.0";"9.7";"";"";"";"";"";"35.0";"6.4";"No precipitation";"3";"";"";"";"";
"18.10.2022 18:00";"8.3";"756.7";"759.7";"-0.1";"93";"Wind blowing from the west-southwest";"2";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"7.0";"9.7";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"35.0";"7.2";"0.1";"3";"";"";"";"";
"18.10.2022 17:00";"9.2";"756.7";"759.7";"0.0";"91";"Wind blowing from the west";"3";"";"";"90  or more, but not 100%";"Precipitation ";"Showers or intermittent precipitation.";"No significant weather observed.";"7.0";"9.7";"";"90  or more, but not 100%";"200-300";"";"";"35.0";"7.8";"0.1";"3";"";"";"";"";
"18.10.2022 16:00";"8.6";"756.7";"759.7";"-0.2";"95";"Wind blowing from the west";"3";"";"";"100%.";"Rain shower(s) or intermittent rain, slight. ";"Showers or intermittent precipitation.";"No significant weather observed.";"7.0";"9.7";"";"100%.";"200-300";"";"";"35.0";"7.8";"0.1";"3";"";"";"";"";
"18.10.2022 15:00";"9.2";"756.8";"759.8";"0.0";"89";"Wind blowing from the west";"3";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"7.0";"9.7";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"90  or more, but not 100%";"200-300";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"7.5";"No precipitation";"3";"";"";"";"";
"18.10.2022 14:00";"9.5";"756.7";"759.7";"0.0";"84";"Wind blowing from the west";"4";"";"";"90  or more, but not 100%";"No significant weather observed. ";"Drizzle.";"No significant weather observed.";"7.0";"9.7";"";"90  or more, but not 100%";"300-600";"";"";"35.0";"6.9";"No precipitation";"3";"";"";"";"";
"18.10.2022 13:00";"9.1";"756.9";"760.0";"0.5";"90";"Wind blowing from the west";"4";"";"";"100%.";"Rain (not freezing). ";"Drizzle.";"No significant weather observed.";"7.0";"9.5";"";"100%.";"300-600";"";"";"35.0";"7.6";"No precipitation";"3";"";"";"";"";
"18.10.2022 12:00";"8.8";"756.8";"759.8";"0.6";"92";"Wind blowing from the west";"2";"";"";"90  or more, but not 100%";"Rain shower(s), slight. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"7.0";"9.7";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"90  or more, but not 100%";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"7.6";"0.1";"3";"";"";"";"";
"18.10.2022 11:00";"8.0";"756.7";"759.7";"0.6";"95";"Wind blowing from the west-southwest";"3";"";"";"90  or more, but not 100%";"No significant weather observed. ";"Showers or intermittent precipitation.";"Rain.";"7.0";"9.7";"";"90  or more, but not 100%";"100-200";"";"";"35.0";"7.2";"1.0";"3";"";"";"";"";
"18.10.2022 10:00";"7.5";"756.4";"759.5";"0.6";"97";"Wind blowing from the west-southwest";"2";"";"";"100%.";"Rain shower(s) or intermittent rain, slight. ";"Showers or intermittent precipitation.";"Rain.";"7.0";"9.7";"";"100%.";"50-100";"";"";"35.0";"7.0";"2.0";"3";"";"";"";"";
"18.10.2022 09:00";"7.2";"756.2";"759.3";"-0.2";"97";"Wind blowing from the south-west";"2";"";"";"100%.";"Rain shower(s), slight. ";"Shower(s).";"Rain.";"7.0";"9.8";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"100%.";"50-100";"";"";"22.0";"6.8";"8.0";"12";"";"";"";"";
"18.10.2022 08:00";"7.1";"756.1";"759.1";"-0.8";"98";"Wind blowing from the west-southwest";"1";"";"";"100%.";"Rain, not freezing, slight. ";"Rain.";"Rain.";"7.0";"10.2";"";"100%.";"600-1000";"";"";"8.0";"6.8";"0.8";"3";"";"";"";"";
"18.10.2022 07:00";"7.0";"755.8";"758.8";"-1.9";"99";"Wind blowing from the south";"1";"";"";"100%.";"No significant weather observed. ";"Rain.";"Rain.";"7.0";"10.4";"";"100%.";"1000-1500";"";"";"35.0";"6.8";"2.0";"3";"";"";"";"";
"18.10.2022 06:00";"7.1";"756.4";"759.4";"-2.2";"99";"Wind blowing from the east";"0";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"7.1";"10.6";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"200-300";"";"";"35.0";"6.9";"4.0";"3";"";"";"";"";
"18.10.2022 05:00";"7.3";"756.9";"760.0";"-2.6";"96";"Wind blowing from the south-southwest";"1";"";"";"100%.";"Rain, not freezing, slight. ";"Rain.";"Rain.";"7.2";"11.1";"";"100%.";"1500-2000";"";"";"28.0";"6.7";"5.0";"3";"";"";"";"";
"18.10.2022 04:00";"7.7";"757.7";"760.8";"-2.6";"97";"Wind blowing from the south";"2";"";"";"100%.";"Rain, not freezing, slight. ";"Rain.";"Rain.";"7.7";"11.2";"";"100%.";"1500-2000";"";"";"10.0";"7.3";"5.0";"3";"";"";"";"";
"18.10.2022 03:00";"8.6";"758.6";"761.7";"-1.9";"95";"Wind blowing from the south-southwest";"1";"";"";"100%.";"Rain, not freezing, continuous, moderate at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"8.4";"11.3";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"100-200";"";"";"16.0";"7.8";"3.0";"3";"";"";"";"";
"18.10.2022 02:00";"9.1";"759.5";"762.6";"-1.3";"94";"Wind blowing from the south-west";"2";"";"";"100%.";"Rain, not freezing, slight. ";"Rain.";"Drizzle.";"9.0";"11.5";"";"100%.";"1000-1500";"";"";"13.0";"8.2";"1.0";"3";"";"";"";"";
"18.10.2022 01:00";"9.5";"760.3";"763.4";"-0.9";"94";"Wind blowing from the south-west";"3";"";"";"100%.";"Drizzle, not freezing, moderate. ";"Drizzle.";"No significant weather observed.";"9.0";"11.8";"";"100%.";"1000-1500";"";"";"35.0";"8.5";"0.1";"3";"";"";"";"";
"18.10.2022 00:00";"9.3";"760.5";"763.6";"-1.1";"93";"Wind blowing from the south-west";"3";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"9.0";"11.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"8.2";"No precipitation";"3";"";"";"";"";
"17.10.2022 23:00";"9.1";"760.8";"763.9";"-1.0";"92";"Wind blowing from the south-west";"3";"";"";"100%.";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"9.0";"11.8";"";"";"2500 or more, or no clouds.";"";"";"35.0";"7.8";"No precipitation";"3";"";"";"";"";
"17.10.2022 22:00";"9.3";"761.2";"764.3";"-0.5";"89";"Wind blowing from the south-west";"3";"";"";"90  or more, but not 100%";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"9.3";"11.8";"";"90  or more, but not 100%";"300-600";"";"";"35.0";"7.5";"No precipitation";"3";"";"";"";"";
"17.10.2022 21:00";"9.7";"761.6";"764.7";"-0.1";"87";"Wind blowing from the south-west";"3";"";"8";"70 – 80%.";"State of sky on the whole unchanged. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"9.7";"11.8";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"70 – 80%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"7.7";"Trace of precipitation";"12";"";"";"";"";
"17.10.2022 20:00";"10.1";"761.8";"764.9";"0.4";"85";"Wind blowing from the west-southwest";"3";"";"9";"90  or more, but not 100%";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"10.1";"11.8";"";"90  or more, but not 100%";"300-600";"";"";"35.0";"7.6";"No precipitation";"3";"";"";"";"";
"17.10.2022 19:00";"10.3";"761.7";"764.8";"0.7";"84";"Wind blowing from the west-southwest";"4";"";"";"90  or more, but not 100%";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"10.1";"11.8";"";"50%.";"300-600";"";"";"35.0";"7.6";"No precipitation";"3";"";"";"";"";
"17.10.2022 18:00";"10.6";"761.7";"764.7";"1.1";"79";"Wind blowing from the west-southwest";"5";"8";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"9.8";"11.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"7.0";"No precipitation";"3";"";"";"";"";
"17.10.2022 17:00";"11.1";"761.4";"764.5";"1.4";"77";"Wind blowing from the west-southwest";"6";"9";"13";"90  or more, but not 100%";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"9.2";"11.8";"";"90  or more, but not 100%";"600-1000";"";"";"35.0";"7.1";"No precipitation";"3";"";"";"";"";
"17.10.2022 16:00";"11.1";"761.0";"764.0";"1.6";"75";"Wind blowing from the west";"6";"11";"";"90  or more, but not 100%";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"9.2";"11.8";"";"90  or more, but not 100%";"600-1000";"";"";"35.0";"6.8";"No precipitation";"3";"";"";"";"";
"17.10.2022 15:00";"11.3";"760.6";"763.6";"1.9";"75";"Wind blowing from the west";"6";"10";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"9.2";"11.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"6.9";"No precipitation";"3";"";"";"";"";
"17.10.2022 14:00";"11.3";"760.0";"763.0";"2.1";"73";"Wind blowing from the west";"7";"12";"";"90  or more, but not 100%";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"9.1";"11.8";"";"90  or more, but not 100%";"600-1000";"";"";"35.0";"6.5";"No precipitation";"3";"";"";"";"";
"17.10.2022 13:00";"11.6";"759.4";"762.4";"2.4";"74";"Wind blowing from the west";"6";"11";"";"90  or more, but not 100%";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"8.9";"11.6";"";"90  or more, but not 100%";"600-1000";"";"";"35.0";"7.0";"No precipitation";"3";"";"";"";"";
"17.10.2022 12:00";"11.1";"758.7";"761.7";"2.7";"72";"Wind blowing from the west";"6";"";"15";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"8.8";"11.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"6.1";"No precipitation";"3";"";"";"";"";
"17.10.2022 11:00";"11.1";"757.9";"760.9";"2.9";"72";"Wind blowing from the west";"7";"11";"15";"90  or more, but not 100%";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"8.5";"13.1";"";"90  or more, but not 100%";"1000-1500";"";"";"35.0";"6.1";"No precipitation";"3";"";"";"";"";
"17.10.2022 10:00";"10.4";"757.0";"760.0";"2.7";"78";"Wind blowing from the west";"7";"15";"15";"100%.";"Rain shower(s) or intermittent rain, slight. ";"No significant weather observed.";"No significant weather observed.";"8.5";"13.1";"";"100%.";"600-1000";"";"";"23.0";"6.7";"No precipitation";"3";"";"";"";"";
"17.10.2022 09:00";"10.8";"756.0";"759.0";"2.3";"74";"Wind blowing from the west";"7";"12";"15";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"8.5";"13.1";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"6.4";"5.0";"12";"";"";"";"";
"17.10.2022 08:00";"10.5";"755.0";"758.0";"1.6";"75";"Wind blowing from the west";"8";"12";"14";"90  or more, but not 100%";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"8.5";"13.1";"";"90  or more, but not 100%";"600-1000";"";"";"35.0";"6.3";"0.1";"3";"";"";"";"";
"17.10.2022 07:00";"10.4";"754.3";"757.3";"0.9";"75";"Wind blowing from the west";"9";"";"";"90  or more, but not 100%";"No significant weather observed. ";"No significant weather observed.";"No significant weather observed.";"8.5";"13.1";"";"90  or more, but not 100%";"600-1000";"";"";"35.0";"6.1";"1.0";"3";"";"";"";"";
